City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,korsholm,63.1142,21.6822,61.23,79,0,10.36,FI,1690219975
1,punta arenas,-53.15,-70.9167,30.88,73,100,6.42,CL,1690219927
2,iqaluit,63.7506,-68.5145,49.73,71,75,11.99,CA,1690219935
3,yellowknife,62.456,-114.3525,70.32,52,100,6.91,CA,1690220125
4,margaret river,-33.95,115.0667,61.43,73,7,18.1,AU,1690220125
5,otofuke,42.9917,143.2003,68.92,90,76,2.53,JP,1690220126
6,olonkinbyen,70.9221,-8.7187,40.75,94,100,12.82,SJ,1690220126
7,salinopolis,-0.6136,-47.3561,84.88,64,29,10.38,BR,1690220126
8,weno,7.4515,151.8468,82.15,79,100,14.25,FM,1690220127
9,modimolle,-24.7,28.4,64.69,37,61,4.47,ZA,1690220127
10,vadso,70.0744,29.7487,50.16,93,100,13.8,NO,1690220127
11,adamstown,-25.066,-130.1015,67.78,68,48,9.66,PN,1690220128
12,hawaiian paradise park,19.5933,-154.9731,74.03,96,100,4.61,US,1690220128
13,cuite,-6.4836,-36.1536,77.88,52,42,15.12,BR,1690220128
14,blackmans bay,-43.0167,147.3167,44.73,78,12,5.39,AU,1690219926
15,qaqortoq,60.7167,-46.0333,44.4,85,99,8.43,GL,1690220128
16,campoverde,-8.4753,-74.8058,89.29,31,15,1.01,PE,1690220129
17,port-aux-francais,-49.35,70.2167,39.2,71,100,24.29,TF,1690220129
18,villaquilambre,42.6469,-5.5584,71.89,37,0,11.5,ES,1690220129
19,stanley,54.868,-1.6985,58.78,73,75,3.44,GB,1690220037
20,el calafate,-50.3408,-72.2768,23.31,82,100,1.57,AR,1690220130
21,gobabis,-22.45,18.9667,64.45,25,8,4.65,NA,1690220130
22,huilong,31.8111,121.655,81.93,91,3,12.06,CN,1690220130
23,turkestan,43.3333,68.25,89.64,14,0,11.61,KZ,1690220130
24,oriximina,-1.7656,-55.8661,94.05,37,2,6.53,BR,1690220130
25,nouadhibou,20.931,-17.0347,76.98,69,53,19.57,MR,1690220131
26,huarmey,-10.0681,-78.1522,74.84,66,19,12.08,PE,1690220031
27,laguna,38.421,-121.4238,85.08,52,0,10.36,US,1690220131
28,castillos,-34.1667,-53.8333,46.63,93,100,7.83,UY,1690220131
29,bilibino,68.0546,166.4372,49.15,93,100,0.25,RU,1690219922
30,grytviken,-54.2811,-36.5092,21.67,76,72,10.22,GS,1690219923
31,touros,-5.1989,-35.4608,82.6,63,38,18.37,BR,1690220057
32,bethel,41.3712,-73.414,86.41,59,20,9.22,US,1690220084
33,nandaime,11.757,-86.0529,87.04,56,98,15.55,NI,1690220132
34,tres palos,18.1833,-101.6167,86.11,63,100,2.66,MX,1690220133
35,lihue,21.9789,-159.3672,80.19,81,100,19.57,US,1690220133
36,washington,47.5001,-120.5015,80.15,33,14,4.68,US,1690220057
37,shakawe,-18.3667,21.85,67.17,18,23,5.03,BW,1690220049
38,isna,25.2934,32.554,100.42,11,2,12.26,EG,1690220133
39,ilha de mocambique,-15.0342,40.7358,75.09,74,5,13.2,MZ,1690220134
40,ixtapa,20.7,-105.2,90.23,74,100,4.61,MX,1690220134
41,enewetak,11.3474,162.3373,83.17,76,66,14.29,MH,1690220134
42,sur,22.5667,59.5289,86.25,67,100,1.79,OM,1690220134
43,kashgar,39.4547,75.9797,76.21,46,40,20.13,CN,1690220135
44,ust-nera,64.5667,143.2,60.58,62,80,7.92,RU,1690219926
45,howrah,22.5892,88.3103,82.4,89,20,3.44,IN,1690220000
46,kodiak,57.79,-152.4072,54.91,76,100,11.5,US,1690220024
47,invercargill,-46.4,168.35,43.83,88,96,7.14,NZ,1690220136
48,pimenta bueno,-11.6725,-61.1936,98.83,18,0,2.1,BR,1690220137
49,mayna,54.1135,47.6231,62.13,70,87,5.84,RU,1690220138
50,longyearbyen,78.2186,15.6401,51.64,76,40,14.97,SJ,1690220138
51,port saint john's,-31.6229,29.5448,59.72,63,6,6.93,ZA,1690220138
52,udachny,66.4167,112.4,57.45,87,96,5.14,RU,1690220139
53,waitangi,-43.9535,-176.5597,52.83,98,100,5.99,NZ,1690220139
54,nagqu,31.5,92.0,42.8,88,100,2.44,CN,1690220139
55,island harbour,50.724,-1.2758,64.04,80,88,5.01,GB,1690220139
56,port lincoln,-34.7333,135.8667,54.05,74,22,7.31,AU,1690220140
57,susanville,40.4163,-120.653,84.81,13,0,8.01,US,1690220140
58,natal,-5.795,-35.2094,86.22,54,40,19.57,BR,1690220140
59,fort bragg,35.139,-79.006,86.14,71,100,4.0,US,1690219845
60,albany,42.6001,-73.9662,86.18,65,54,3.0,US,1690219845
61,fiche,9.8,38.7333,55.08,76,98,2.51,ET,1690220141
62,lebu,-37.6167,-73.65,52.88,79,93,18.7,CL,1690220141
63,port augusta,-32.5,137.7667,46.15,85,0,5.32,AU,1690220141
64,laascaanood,8.4774,47.3597,83.68,38,64,24.14,SO,1690220141
65,mount gambier,-37.8333,140.7667,46.94,84,61,1.54,AU,1690219855
66,susner,23.95,76.0833,81.64,80,81,10.07,IN,1690220141
67,tiksi,71.6872,128.8694,38.55,85,20,5.37,RU,1690219954
68,galliano,29.4422,-90.2992,91.4,55,0,6.91,US,1690220142
69,road town,18.4167,-64.6167,89.69,62,20,13.8,VG,1690219973
70,polyarnyy,69.1989,33.4478,49.01,96,100,13.8,RU,1690220142
71,axim,4.8699,-2.2405,76.41,88,100,5.17,GH,1690220143
72,villa regina,-39.1,-67.0667,51.98,25,84,17.27,AR,1690220143
73,lompoc,34.6391,-120.4579,85.01,100,75,4.61,US,1690220143
74,puerto ayora,-0.7393,-90.3518,84.16,78,89,11.03,EC,1690220143
75,hithadhoo,-0.6,73.0833,83.12,78,100,15.75,MV,1690220143
76,altenberg,50.7656,13.7533,72.61,72,99,17.0,DE,1690220144
77,murmashi,68.8154,32.8115,52.21,100,75,4.47,RU,1690220144
78,afaahiti,-17.75,-149.2833,76.87,87,26,19.39,PF,1690219973
79,copiapo,-27.3667,-70.3333,62.29,28,40,5.5,CL,1690219970
80,diamantino,-14.4086,-56.4461,96.51,16,0,3.62,BR,1690220144
81,flying fish cove,-10.4217,105.6791,74.88,88,75,5.75,CX,1690220145
82,queenstown,-31.8976,26.8753,43.63,46,0,1.99,ZA,1690220145
83,st. john's,47.5649,-52.7093,78.28,83,75,18.41,CA,1690219942
84,ende,-8.8432,121.6623,73.87,89,99,9.08,ID,1690220145
85,west island,-12.1568,96.8225,76.98,83,75,18.41,CC,1690219927
86,westport,41.1415,-73.3579,87.76,61,0,8.05,US,1690220145
87,klyuchi,52.2667,79.1667,71.76,47,15,12.71,RU,1690220146
88,keflavik,64.0049,-22.5624,57.11,100,100,10.36,IS,1690220146
89,vilyuchinsk,52.9306,158.4028,53.87,90,21,9.93,RU,1690220031
90,port elizabeth,-33.918,25.5701,53.89,71,0,10.36,ZA,1690219962
91,tura,25.5198,90.2201,75.27,93,100,4.16,IN,1690220147
92,bubaque,11.2833,-15.8333,81.43,76,89,9.73,GW,1690220147
93,mount pearl,47.5166,-52.7813,77.45,83,75,18.41,CA,1690220147
94,bandarbeyla,9.4942,50.8122,76.84,71,60,34.96,SO,1690220147
95,la'ie,21.6477,-157.9253,80.56,77,54,14.47,US,1690220147
96,haiku-pauwela,20.9219,-156.3051,80.04,75,0,16.11,US,1690220148
97,kingston,17.997,-76.7936,93.24,66,20,18.41,JM,1690220024
98,edinburgh of the seven seas,-37.0676,-12.3116,58.3,81,85,35.88,SH,1690219932
99,whitehorse,60.7161,-135.0538,57.02,82,75,10.0,CA,1690220148
100,caminauit,12.3314,121.0825,80.94,85,100,24.43,PH,1690220148
101,bodaybo,57.8506,114.1933,62.11,85,28,3.06,RU,1690220149
102,tomohon,1.3346,124.8392,74.34,90,84,5.21,ID,1690220149
103,plettenberg bay,-34.0527,23.3716,50.49,71,0,5.66,ZA,1690220149
104,shar'ya,58.3686,45.5144,55.9,87,37,6.04,RU,1690220150
105,rawson,-43.3002,-65.1023,46.94,57,100,24.9,AR,1690220150
106,manta,-0.95,-80.7333,87.58,74,20,13.0,EC,1690220150
107,saint-philippe,-21.3585,55.7679,69.39,83,40,8.68,RE,1690220150
108,hermanus,-34.4187,19.2345,44.8,66,0,4.52,ZA,1690219967
109,ushuaia,-54.8,-68.3,33.46,69,0,1.14,AR,1690219890
110,barrancas,10.9576,-72.7877,99.63,38,78,7.83,CO,1690220151
111,quito,-0.2299,-78.5249,70.75,42,34,6.71,EC,1690219919
112,puerto natales,-51.7236,-72.4875,26.33,77,100,1.68,CL,1690220151
113,aykhal,66.0,111.5,55.18,86,95,4.94,RU,1690220151
114,dudinka,69.4058,86.1778,58.62,73,39,9.06,RU,1690220152
115,isafjordur,66.0755,-23.124,53.64,87,100,0.0,IS,1690219940
116,vorkuta,67.5,64.0,62.98,70,64,7.56,RU,1690220152
117,georgetown,5.4112,100.3354,81.01,84,20,3.44,MY,1690220152
118,vilyuysk,63.7553,121.6247,61.74,93,60,5.77,RU,1690220153
119,wailua homesteads,22.0669,-159.378,79.59,86,100,19.57,US,1690219969
120,along,28.1667,94.7667,74.88,97,100,1.57,IN,1690220153
121,pisco,-13.7,-76.2167,71.65,60,0,8.05,PE,1690220153
122,geraldton,-28.7667,114.6,50.41,71,59,14.97,AU,1690220154
123,auki,-8.7676,160.7034,75.42,89,70,3.09,SB,1690220154
124,obo,5.3998,26.4869,73.08,84,89,2.89,CF,1690220154
125,vorgashor,67.5833,63.95,62.01,72,61,7.0,RU,1690220154
126,furmanov,57.2508,41.1058,54.77,92,96,6.76,RU,1690220155
127,morehead,37.2711,-87.1764,86.86,69,0,9.22,US,1690219981
128,ribeira grande,38.5167,-28.7,72.0,94,75,2.3,PT,1690220155
129,kone,-21.0595,164.8658,60.28,83,89,4.36,NC,1690220155
130,lensk,60.7253,114.9278,65.64,74,45,2.93,RU,1690220155
131,yarmouth,41.7057,-70.2286,84.96,67,0,9.22,US,1690220156
132,kayangel,8.0823,134.7173,78.82,84,100,5.46,PW,1690220156
133,novaya igirma,57.1334,103.9112,60.03,96,99,3.62,RU,1690220156
134,erenhot,43.6475,111.9767,77.85,33,17,2.01,CN,1690220156
135,ingeniero jacobacci,-41.3427,-69.5448,36.14,75,99,19.69,AR,1690220156
136,la passe,45.5549,-0.8967,73.63,71,86,16.87,FR,1690219934
137,naze,28.3667,129.4833,81.52,82,94,13.44,JP,1690220157
138,kupang,-10.1667,123.5833,71.87,79,50,15.64,ID,1690220157
139,wynyard,-41.0,145.7167,46.11,85,60,5.99,AU,1690219918
140,saldanha,-33.0117,17.9442,48.25,67,0,12.24,ZA,1690220157
141,okha,53.5739,142.9478,58.21,84,97,3.65,RU,1690220157
142,czarna bialostocka,53.3051,23.2815,71.82,78,89,5.17,PL,1690220158
143,ilulissat,69.2167,-51.1,48.22,81,40,4.61,GL,1690220158
144,novodvinsk,64.4165,40.8122,55.6,88,86,4.23,RU,1690220009
145,san-pedro,4.7485,-6.6363,78.01,83,78,8.72,CI,1690220010
146,lazaro cardenas,17.9583,-102.2,87.85,60,100,2.59,MX,1690220158
147,meadow lakes,61.6247,-149.6011,65.41,79,0,1.01,US,1690220159
148,marka,1.7159,44.7717,76.35,83,45,16.93,SO,1690220159
149,vila velha,-20.3297,-40.2925,76.95,75,40,8.05,BR,1690220160
150,meadow lake,34.8014,-106.5436,93.79,24,4,8.21,US,1690220030
151,moshi,-3.35,37.3333,71.98,68,74,4.7,TZ,1690220161
152,elmadag,39.9208,33.2308,76.35,54,24,9.6,TR,1690220161
153,jincheng,35.5022,112.8328,78.37,68,24,2.73,CN,1690220161
